"clonotype_id","frequency","proportion"
"CD08_clonotype0122",1,0.000947867298578199
"CD08_clonotype0123",1,0.000947867298578199
"CD08_clonotype0124",1,0.000947867298578199
"CD08_clonotype0125",1,0.000947867298578199
"CD08_clonotype0126",1,0.000947867298578199
"CD08_clonotype0127",1,0.000947867298578199
"CD08_clonotype0128",1,0.000947867298578199
"CD08_clonotype0129",1,0.000947867298578199
"CD08_clonotype0130",1,0.000947867298578199
"CD08_clonotype0131",1,0.000947867298578199
"CD08_clonotype0132",1,0.000947867298578199
"CD08_clonotype0133",1,0.000947867298578199
"CD08_clonotype0134",1,0.000947867298578199
"CD08_clonotype0135",1,0.000947867298578199
"CD08_clonotype0136",1,0.000947867298578199
"CD08_clonotype0137",1,0.000947867298578199
"CD08_clonotype0138",1,0.000947867298578199
"CD08_clonotype0139",1,0.000947867298578199
"CD08_clonotype0140",1,0.000947867298578199
"CD08_clonotype0141",1,0.000947867298578199
"CD08_clonotype0142",1,0.000947867298578199
"CD08_clonotype0143",1,0.000947867298578199
"CD08_clonotype0144",1,0.000947867298578199
"CD08_clonotype0145",1,0.000947867298578199
"CD08_clonotype0146",1,0.000947867298578199
"CD08_clonotype0147",1,0.000947867298578199
"CD08_clonotype0148",1,0.000947867298578199
"CD08_clonotype0149",1,0.000947867298578199
"CD08_clonotype0150",1,0.000947867298578199
"CD08_clonotype0151",1,0.000947867298578199
"CD08_clonotype0152",1,0.000947867298578199
"CD08_clonotype0153",1,0.000947867298578199
"CD08_clonotype0154",1,0.000947867298578199
"CD08_clonotype0155",1,0.000947867298578199
"CD08_clonotype0156",1,0.000947867298578199
"CD08_clonotype0157",1,0.000947867298578199
"CD08_clonotype0158",1,0.000947867298578199
"CD08_clonotype0159",1,0.000947867298578199
"CD08_clonotype0160",1,0.000947867298578199
"CD08_clonotype0161",1,0.000947867298578199
"CD08_clonotype0162",1,0.000947867298578199
"CD08_clonotype0163",1,0.000947867298578199
"CD08_clonotype0164",1,0.000947867298578199
"CD08_clonotype0165",1,0.000947867298578199
"CD08_clonotype0166",1,0.000947867298578199
"CD08_clonotype0167",1,0.000947867298578199
"CD08_clonotype0168",1,0.000947867298578199
"CD08_clonotype0169",1,0.000947867298578199
"CD08_clonotype0170",1,0.000947867298578199
"CD08_clonotype0171",1,0.000947867298578199
"CD08_clonotype0172",1,0.000947867298578199
"CD08_clonotype0173",1,0.000947867298578199
"CD08_clonotype0174",1,0.000947867298578199
"CD08_clonotype0175",1,0.000947867298578199
"CD08_clonotype0176",1,0.000947867298578199
"CD08_clonotype0177",1,0.000947867298578199
"CD08_clonotype0178",1,0.000947867298578199
"CD08_clonotype0179",1,0.000947867298578199
"CD08_clonotype0180",1,0.000947867298578199
"CD08_clonotype0181",1,0.000947867298578199
"CD08_clonotype0182",1,0.000947867298578199
"CD08_clonotype0183",1,0.000947867298578199
"CD08_clonotype0184",1,0.000947867298578199
"CD08_clonotype0185",1,0.000947867298578199
"CD08_clonotype0186",1,0.000947867298578199
"CD08_clonotype0187",1,0.000947867298578199
"CD08_clonotype0188",1,0.000947867298578199
"CD08_clonotype0189",1,0.000947867298578199
"CD08_clonotype0190",1,0.000947867298578199
"CD08_clonotype0191",1,0.000947867298578199
"CD08_clonotype0192",1,0.000947867298578199
"CD08_clonotype0193",1,0.000947867298578199
"CD08_clonotype0194",1,0.000947867298578199
"CD08_clonotype0195",1,0.000947867298578199
"CD08_clonotype0196",1,0.000947867298578199
"CD08_clonotype0197",1,0.000947867298578199
"CD08_clonotype0198",1,0.000947867298578199
"CD08_clonotype0199",1,0.000947867298578199
"CD08_clonotype0200",1,0.000947867298578199
"CD08_clonotype0201",1,0.000947867298578199
"CD08_clonotype0202",1,0.000947867298578199
"CD08_clonotype0203",1,0.000947867298578199
"CD08_clonotype0204",1,0.000947867298578199
"CD08_clonotype0205",1,0.000947867298578199
"CD08_clonotype0206",1,0.000947867298578199
"CD08_clonotype0207",1,0.000947867298578199
"CD08_clonotype0208",1,0.000947867298578199
"CD08_clonotype0209",1,0.000947867298578199
"CD08_clonotype0210",1,0.000947867298578199
"CD08_clonotype0211",1,0.000947867298578199
"CD08_clonotype0212",1,0.000947867298578199
"CD08_clonotype0213",1,0.000947867298578199
"CD08_clonotype0214",1,0.000947867298578199
"CD08_clonotype0215",1,0.000947867298578199
"CD08_clonotype0216",1,0.000947867298578199
"CD08_clonotype0217",1,0.000947867298578199
"CD08_clonotype0218",1,0.000947867298578199
"CD08_clonotype0219",1,0.000947867298578199
"CD08_clonotype0220",1,0.000947867298578199
"CD08_clonotype0221",1,0.000947867298578199
"CD08_clonotype0222",1,0.000947867298578199
"CD08_clonotype0223",1,0.000947867298578199
"CD08_clonotype0224",1,0.000947867298578199
"CD08_clonotype0225",1,0.000947867298578199
"CD08_clonotype0226",1,0.000947867298578199
"CD08_clonotype0227",1,0.000947867298578199
"CD08_clonotype0228",1,0.000947867298578199
"CD08_clonotype0229",1,0.000947867298578199
"CD08_clonotype0230",1,0.000947867298578199
"CD08_clonotype0231",1,0.000947867298578199
"CD08_clonotype0232",1,0.000947867298578199
"CD08_clonotype0233",1,0.000947867298578199
"CD08_clonotype0234",1,0.000947867298578199
"CD08_clonotype0235",1,0.000947867298578199
"CD08_clonotype0236",1,0.000947867298578199
"CD08_clonotype0237",1,0.000947867298578199
"CD08_clonotype0238",1,0.000947867298578199
"CD08_clonotype0239",1,0.000947867298578199
"CD08_clonotype0240",1,0.000947867298578199
"CD08_clonotype0241",1,0.000947867298578199
"CD08_clonotype0242",1,0.000947867298578199
"CD08_clonotype0243",1,0.000947867298578199
"CD08_clonotype0244",1,0.000947867298578199
"CD08_clonotype0245",1,0.000947867298578199
"CD08_clonotype0246",1,0.000947867298578199
"CD08_clonotype0247",1,0.000947867298578199
"CD08_clonotype0248",1,0.000947867298578199
"CD08_clonotype0249",1,0.000947867298578199
"CD08_clonotype0250",1,0.000947867298578199
"CD08_clonotype0251",1,0.000947867298578199
"CD08_clonotype0252",1,0.000947867298578199
"CD08_clonotype0253",1,0.000947867298578199
"CD08_clonotype0254",1,0.000947867298578199
"CD08_clonotype0255",1,0.000947867298578199
"CD08_clonotype0256",1,0.000947867298578199
"CD08_clonotype0257",1,0.000947867298578199
"CD08_clonotype0258",1,0.000947867298578199
"CD08_clonotype0259",1,0.000947867298578199
"CD08_clonotype0260",1,0.000947867298578199
"CD08_clonotype0261",1,0.000947867298578199
"CD08_clonotype0262",1,0.000947867298578199
"CD08_clonotype0263",1,0.000947867298578199
"CD08_clonotype0264",1,0.000947867298578199
"CD08_clonotype0265",1,0.000947867298578199
"CD08_clonotype0266",1,0.000947867298578199
"CD08_clonotype0267",1,0.000947867298578199
"CD08_clonotype0268",1,0.000947867298578199
"CD08_clonotype0269",1,0.000947867298578199
"CD08_clonotype0270",1,0.000947867298578199
"CD08_clonotype0271",1,0.000947867298578199
"CD08_clonotype0272",1,0.000947867298578199
"CD08_clonotype0273",1,0.000947867298578199
"CD08_clonotype0274",1,0.000947867298578199
"CD08_clonotype0275",1,0.000947867298578199
"CD08_clonotype0276",1,0.000947867298578199
"CD08_clonotype0277",1,0.000947867298578199
"CD08_clonotype0278",1,0.000947867298578199
"CD08_clonotype0279",1,0.000947867298578199
"CD08_clonotype0280",1,0.000947867298578199
"CD08_clonotype0281",1,0.000947867298578199
"CD08_clonotype0282",1,0.000947867298578199
"CD08_clonotype0283",1,0.000947867298578199
"CD08_clonotype0284",1,0.000947867298578199
"CD08_clonotype0285",1,0.000947867298578199
"CD08_clonotype0286",1,0.000947867298578199
"CD08_clonotype0287",1,0.000947867298578199
"CD08_clonotype0288",1,0.000947867298578199
"CD08_clonotype0289",1,0.000947867298578199
"CD08_clonotype0290",1,0.000947867298578199
"CD08_clonotype0291",1,0.000947867298578199
"CD08_clonotype0292",1,0.000947867298578199
"CD08_clonotype0293",1,0.000947867298578199
"CD08_clonotype0294",1,0.000947867298578199
"CD08_clonotype0295",1,0.000947867298578199
"CD08_clonotype0296",1,0.000947867298578199
"CD08_clonotype0297",1,0.000947867298578199
"CD08_clonotype0298",1,0.000947867298578199
"CD08_clonotype0299",1,0.000947867298578199
"CD08_clonotype0300",1,0.000947867298578199
"CD08_clonotype0301",1,0.000947867298578199
"CD08_clonotype0302",1,0.000947867298578199
"CD08_clonotype0303",1,0.000947867298578199
"CD08_clonotype0304",1,0.000947867298578199
"CD08_clonotype0305",1,0.000947867298578199
"CD08_clonotype0306",1,0.000947867298578199
"CD08_clonotype0307",1,0.000947867298578199
"CD08_clonotype0308",1,0.000947867298578199
